ID,ISDELETED,NAME,CURRENCYISOCODE,ZQU__PRODUCTRATEPLANCHARGE__C,ZQU__CURRENCY__C,ZQU__DELETED__C,ZQU__ENDINGUNIT__C,ZQU__ISOVERAGEPRICE__C,ZQU__PRICEFORMAT__C,ZQU__PRICE__C,ZQU__PRODUCTRATEPLANCHARGEID__C,ZQU__STARTINGUNIT__C,ZQU__TIER__C,ZQU__ZUORAID__C,ZQU__ACTIVE__C,ZQU__CATALOG_SYNC_HISTORY__C,ZQU__CURRENCY2__C,ZQU__DISCOUNTAMOUNT__C,ZQU__DISCOUNTPERCENTAGE__C,ZQU__PRICEFORMAT2__C,ZQU__SYNCMESSAGE__C,ZQU__SYNCSTATUS__C
a0z1r00000IqkuZAAR,FALSE,1,USD,a101r00000Atv9YAAR,EUR,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca97c974030,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000IqkuaAAB,FALSE,1,USD,a101r00000Atv9ZAAR,USD,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca97cde4034,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000IqkubAAB,FALSE,1,USD,a101r00000Atv9ZAAR,EUR,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff6435125c01643ca97cde4035,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000IqkucAAB,FALSE,1,USD,a101r00000Atv9sAAB,EUR,FALSE,,FALSE,Flat Fee,24000,,0,1,2c92a0ff6435125c01643ca97d27403a,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000IqkxBAAR,FALSE,1,USD,a101r00000Atv9sAAB,USD,FALSE,,FALSE,Flat Fee,24000,,0,1,2c92a0ff6435125c01643ca97d274039,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000IqkujAAB,FALSE,1,USD,a101r00000Atv9tAAB,EUR,FALSE,,FALSE,Flat Fee,25272,,0,1,2c92a0ff6435125c01643ca97ed0406a,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000IqkxCAAR,FALSE,1,USD,a101r00000Atv9tAAB,USD,FALSE,,FALSE,Flat Fee,25272,,0,1,2c92a0ff6435125c01643ca97ed04069,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000JMKorAAH,FALSE,1,USD,a101r00000BmXzgAAF,USD,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0fe67a101fc0167a204775612f0,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000JMKosAAH,FALSE,1,USD,a101r00000BmXzgAAF,EUR,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0fe67a101fc0167a204775612f1,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000JMNk0AAH,FALSE,1,USD,a101r00000BpbRoAAJ,USD,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0fd68a2d8a30168b8b4139c3f04,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000JMNk1AAH,FALSE,1,USD,a101r00000BpbRoAAJ,EUR,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0fd68a2d8a30168b8b4139c3f05,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000JMNkIAAX,FALSE,1,USD,a101r00000BpbRxAAJ,USD,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a00868a2d86c0168b8c53dba6bf6,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000JMNkJAAX,FALSE,1,USD,a101r00000BpbRxAAJ,EUR,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a00868a2d86c0168b8c53dba6bf7,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000JMNkaAAH,FALSE,1,USD,a101r00000BpbS6AAJ,USD,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0fd68a2d8a30168b8e6e5747c74,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000JMNkbAAH,FALSE,1,USD,a101r00000BpbS6AAJ,EUR,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0fd68a2d8a30168b8e6e5747c75,FALSE,,EUR,,,Flat Fee,,Updated
a0z1r00000IVQRnAAP,FALSE,1,USD,a101r00000CgDBdAAN,USD,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff696c906c016971eb89d05187,FALSE,,USD,,,Flat Fee,,Updated
a0z1r00000IVQRoAAP,FALSE,1,USD,a101r00000CgDBdAAN,EUR,FALSE,,FALSE,Flat Fee,0,,0,1,2c92a0ff696c906c016971eb89d05188,FALSE,,EUR,,,Flat Fee,,Updated
